"ID";"SIC2008PrivateFirmsGovernment";"Periods";"VacanciesSeasonallyAdjusted_1"
"1806";"part  ";"1997KW01";"    73.8"
"1807";"part  ";"1997KW02";"    74.9"
"1808";"part  ";"1997KW03";"    96.5"
"1809";"part  ";"1997KW04";"   113.0"
"1810";"part  ";"1998KW01";"   115.6"
"1811";"part  ";"1998KW02";"   123.6"
"1812";"part  ";"1998KW03";"   131.6"
"1813";"part  ";"1998KW04";"   131.6"
"1814";"part  ";"1999KW01";"   138.3"
"1815";"part  ";"1999KW02";"   164.9"
"1816";"part  ";"1999KW03";"   170.6"
"1817";"part  ";"1999KW04";"   175.0"
"1818";"part  ";"2000KW01";"   193.7"
"1819";"part  ";"2000KW02";"   186.0"
"1820";"part  ";"2000KW03";"   182.7"
"1821";"part  ";"2000KW04";"   196.5"
"1822";"part  ";"2001KW01";"   193.7"
"1823";"part  ";"2001KW02";"   186.5"
"1824";"part  ";"2001KW03";"   169.3"
"1825";"part  ";"2001KW04";"   156.1"
"1826";"part  ";"2002KW01";"   155.9"
"1827";"part  ";"2002KW02";"   130.8"
"1828";"part  ";"2002KW03";"   115.8"
"1829";"part  ";"2002KW04";"   116.3"
"1830";"part  ";"2003KW01";"   106.5"
"1831";"part  ";"2003KW02";"    99.2"
"1832";"part  ";"2003KW03";"    83.9"
"1833";"part  ";"2003KW04";"    94.0"
"1834";"part  ";"2004KW01";"   105.8"
"1835";"part  ";"2004KW02";"   109.5"
"1836";"part  ";"2004KW03";"   110.9"
"1837";"part  ";"2004KW04";"   118.3"
"1838";"part  ";"2005KW01";"   139.4"
"1839";"part  ";"2005KW02";"   128.2"
"1840";"part  ";"2005KW03";"   151.3"
"1841";"part  ";"2005KW04";"   152.7"
"1842";"part  ";"2006KW01";"   175.5"
"1843";"part  ";"2006KW02";"   198.0"
"1844";"part  ";"2006KW03";"   216.3"
"1845";"part  ";"2006KW04";"   215.6"
"1846";"part  ";"2007KW01";"   220.8"
"1847";"part  ";"2007KW02";"   223.0"
"1848";"part  ";"2007KW03";"   229.5"
"1849";"part  ";"2007KW04";"   233.4"
"1850";"part  ";"2008KW01";"   230.6"
"1851";"part  ";"2008KW02";"   226.2"
"1852";"part  ";"2008KW03";"   220.1"
"1853";"part  ";"2008KW04";"   173.2"
"1854";"part  ";"2009KW01";"   132.2"
"1855";"part  ";"2009KW02";"   105.9"
"1856";"part  ";"2009KW03";"   111.8"
"1857";"part  ";"2009KW04";"   109.1"
"1858";"part  ";"2010KW01";"   105.1"
"1859";"part  ";"2010KW02";"   108.3"
"1860";"part  ";"2010KW03";"   116.2"
"1861";"part  ";"2010KW04";"   119.8"
"1862";"part  ";"2011KW01";"   127.1"
"1863";"part  ";"2011KW02";"   126.9"
"1864";"part  ";"2011KW03";"   126.6"
"1865";"part  ";"2011KW04";"   115.5"
"1866";"part  ";"2012KW01";"   110.1"
"1867";"part  ";"2012KW02";"   102.2"
"1868";"part  ";"2012KW03";"    99.6"
"1869";"part  ";"2012KW04";"    94.7"
"1870";"part  ";"2013KW01";"    89.0"
"1871";"part  ";"2013KW02";"    83.6"
"1872";"part  ";"2013KW03";"    87.0"
"1873";"part  ";"2013KW04";"    88.4"
"1874";"part  ";"2014KW01";"    95.6"
"1875";"part  ";"2014KW02";"    98.8"
"1876";"part  ";"2014KW03";"   104.3"
"1877";"part  ";"2014KW04";"   109.8"
"1878";"part  ";"2015KW01";"   115.2"
"1879";"part  ";"2015KW02";"   119.9"
"1880";"part  ";"2015KW03";"   122.3"
"1881";"part  ";"2015KW04";"   131.4"
"1882";"part  ";"2016KW01";"   137.1"
"1883";"part  ";"2016KW02";"   141.7"
"1884";"part  ";"2016KW03";"   148.6"
"1885";"part  ";"2016KW04";"   156.4"
"1886";"part  ";"2017KW01";"   170.2"
"1887";"part  ";"2017KW02";"   187.9"
"1888";"part  ";"2017KW03";"   196.0"
"1889";"part  ";"2017KW04";"   208.8"
"1890";"part  ";"2018KW01";"   218.4"
"1891";"part  ";"2018KW02";"   231.9"
"1892";"part  ";"2018KW03";"   241.6"
"1893";"part  ";"2018KW04";"   243.8"
"1894";"part  ";"2019KW01";"   256.8"
"1895";"part  ";"2019KW02";"   261.0"
"1896";"ovh   ";"1997KW01";"    10.0"
"1897";"ovh   ";"1997KW02";"    11.2"
"1898";"ovh   ";"1997KW03";"    11.1"
"1899";"ovh   ";"1997KW04";"     9.9"
"1890";"ovh   ";"1998KW01";"    12.4"
"1901";"ovh   ";"1998KW02";"    13.3"
"1902";"ovh   ";"1998KW03";"    13.7"
"1903";"ovh   ";"1998KW04";"    13.1"
"1904";"ovh   ";"1999KW01";"    13.8"
"1905";"ovh   ";"1999KW02";"    14.5"
"1906";"ovh   ";"1999KW03";"    17.1"
"1907";"ovh   ";"1999KW04";"    17.1"
"1908";"ovh   ";"2000KW01";"    15.7"
"1909";"ovh   ";"2000KW02";"    14.9"
"1910";"ovh   ";"2000KW03";"    18.6"
"1911";"ovh   ";"2000KW04";"    17.4"
"1912";"ovh   ";"2001KW01";"    15.9"
"1913";"ovh   ";"2001KW02";"    15.9"
"1914";"ovh   ";"2001KW03";"    18.5"
"1915";"ovh   ";"2001KW04";"    17.7"
"1916";"ovh   ";"2002KW01";"    16.4"
"1917";"ovh   ";"2002KW02";"    17.2"
"1918";"ovh   ";"2002KW03";"    14.0"
"1919";"ovh   ";"2002KW04";"    13.5"
"1920";"ovh   ";"2003KW01";"    11.5"
"1921";"ovh   ";"2003KW02";"    12.9"
"1922";"ovh   ";"2003KW03";"    10.1"
"1923";"ovh   ";"2003KW04";"     8.4"
"1924";"ovh   ";"2004KW01";"    10.0"
"1925";"ovh   ";"2004KW02";"    13.4"
"1926";"ovh   ";"2004KW03";"    10.0"
"1927";"ovh   ";"2004KW04";"    10.1"
"1928";"ovh   ";"2005KW01";"     9.5"
"1929";"ovh   ";"2005KW02";"    13.1"
"1930";"ovh   ";"2005KW03";"    12.4"
"1931";"ovh   ";"2005KW04";"    12.5"
"1932";"ovh   ";"2006KW01";"    11.8"
"1933";"ovh   ";"2006KW02";"    11.8"
"1934";"ovh   ";"2006KW03";"    13.8"
"1935";"ovh   ";"2006KW04";"    14.7"
"1936";"ovh   ";"2007KW01";"    14.1"
"1937";"ovh   ";"2007KW02";"    15.3"
"1938";"ovh   ";"2007KW03";"    17.3"
"1939";"ovh   ";"2007KW04";"    15.9"
"1940";"ovh   ";"2008KW01";"    16.5"
"1941";"ovh   ";"2008KW02";"    18.7"
"1942";"ovh   ";"2008KW03";"    26.6"
"1943";"ovh   ";"2008KW04";"    24.2"
"1944";"ovh   ";"2009KW01";"    21.7"
"1945";"ovh   ";"2009KW02";"    22.5"
"1946";"ovh   ";"2009KW03";"    19.0"
"1947";"ovh   ";"2009KW04";"    16.3"
"1948";"ovh   ";"2010KW01";"    10.6"
"1949";"ovh   ";"2010KW02";"     9.2"
"1950";"ovh   ";"2010KW03";"     9.1"
"1951";"ovh   ";"2010KW04";"     8.5"
"1952";"ovh   ";"2011KW01";"     8.0"
"1953";"ovh   ";"2011KW02";"     7.8"
"1954";"ovh   ";"2011KW03";"     7.5"
"1955";"ovh   ";"2011KW04";"     7.2"
"1956";"ovh   ";"2012KW01";"     7.3"
"1957";"ovh   ";"2012KW02";"     7.1"
"1958";"ovh   ";"2012KW03";"     7.0"
"1959";"ovh   ";"2012KW04";"     7.0"
"1960";"ovh   ";"2013KW01";"     7.3"
"1961";"ovh   ";"2013KW02";"     7.7"
"1962";"ovh   ";"2013KW03";"     8.1"
"1963";"ovh   ";"2013KW04";"     8.1"
"1964";"ovh   ";"2014KW01";"     8.5"
"1965";"ovh   ";"2014KW02";"     8.7"
"1966";"ovh   ";"2014KW03";"     9.1"
"1967";"ovh   ";"2014KW04";"     9.0"
"1968";"ovh   ";"2015KW01";"     9.7"
"1969";"ovh   ";"2015KW02";"    10.4"
"1970";"ovh   ";"2015KW03";"    10.6"
"1971";"ovh   ";"2015KW04";"    11.3"
"1972";"ovh   ";"2016KW01";"    12.4"
"1973";"ovh   ";"2016KW02";"    13.1"
"1974";"ovh   ";"2016KW03";"    13.4"
"1975";"ovh   ";"2016KW04";"    14.8"
"1976";"ovh   ";"2017KW01";"    15.5"
"1977";"ovh   ";"2017KW02";"    16.8"
"1978";"ovh   ";"2017KW03";"    17.7"
"1979";"ovh   ";"2017KW04";"    17.7"
"1980";"ovh   ";"2018KW01";"    17.9"
"1981";"ovh   ";"2018KW02";"   18.8"
"1982";"ovh   ";"2018KW03";"   19.1"
"1983";"ovh   ";"2018KW04";"   20.1"
"1984";"ovh   ";"2019KW01";"   20.6"
"1985";"ovh   ";"2019KW02";"   22.5"
